"web_scraper_order","web_scraper_start_url","category-link-0","pagination-selector","data-page-selector","name","price","category-","brand","code","availability","description","tag_1","tag_2","tag_3","tag_4","tag_5","image_12","image_13","image_14","image_15","category_id","Automatic Machine",1,"formatted_price",
"1770381103-36","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-tripod-turnstile-taping",,"https://alatparkir.info/fingerprint_turnstile_swing_gate_double/paket-pasang-tripod-turnstile-taping","Paket Fingerprint Turnstile Swing Gate Double",,"Paket Turnstile Gate","Turnstile","Turnstile","In Stock","Turnstile Swing Gate adalah alat kontrol akses berbentuk pintu yang terbuka secara mekanis untuk mengatur arus masuk dan keluar orang. Saat dipadukan dengan sistem akses tap kartu dan fingerprint, pengguna harus menempelkan kartu akses (misalnya RFID) ke mesin pembaca. Jika kartu valid, sistem akan membuka blokir palang, memungkinkan satu orang lewat. Setelah lewat, palang otomatis mengunci kembali, mencegah orang lain masuk tanpa izin.
Fungsi utama:* Mengontrol akses satu per satu.* Dapat dihubungkan ke sistem keamanan* Cocok digunakan di gedung perkantoran, stasiun, gym, atau fasilitas publik.
Paket terdiri dari :1 Tunrstile Swing Gate Double2 Modul Fingerprint1 Akses Kontrol ZKTeco1 Fingerprint USB Registration1 Set Komputer Admin (opsional) include software
**Harga belum termasuk jasa instalasi, akomodasi, dan ongkos kirim barang","paket turnstile swing gate","harga paket rfid turnstile","pasang turnstile akses kartu","pasang swing gate fingerprint","paket tripod turnstile murah","https://alatparkir.info/image/cache/catalog/turnstile/harga_swing_gate_double_fingerprint-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/harga_swing_gate_double_fingerprint-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/harga_swing_gate_double_fingerprint-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/harga_swing_gate_double_fingerprint-600x691.webp",8,,,0,8
"1770381106-37","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-tripod-turnstile-taping",,"https://alatparkir.info/jual-tripod-turnstile-murah/paket-pasang-tripod-turnstile-taping","Paket Bridge Tripod Turnstile Single Taping Kartu",,"Paket Turnstile Gate","Turnstile","Turnstile","In Stock","Tripod turnstile adalah alat kontrol akses berbentuk palang tiga (seperti tripod) yang berputar secara mekanis untuk mengatur arus masuk dan keluar orang. Saat dipadukan dengan sistem **akses tap kartu**, pengguna harus menempelkan kartu akses (misalnya RFID) ke mesin pembaca. Jika kartu valid, sistem akan membuka blokir palang, memungkinkan satu orang lewat. Setelah lewat, palang otomatis mengunci kembali, mencegah orang lain masuk tanpa izin.
Fungsi utama:* Mengontrol akses satu per satu.* Dapat dihubungkan ke sistem keamanan* Cocok digunakan di gedung perkantoran, stasiun, gym, atau fasilitas publik.
Paket terdiri dari :1 Bridge Tripod Turnstile Single2 RFID Reader Wiegand1 Akses Kontrol ZKTeco1 RFID USB Registration1 Set Komputer Admin (opsional) include software
**Free kartu RFID 100pcs","paket tripod tunrstile","harga paket rfid tripod turnstile","pasang tripod turnstile akses kartu","paket tripod turnstile murah",,"https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg",8,,,0,8
"1770381109-38","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-tripod-turnstile-taping",,"https://alatparkir.info/bridge-tripod-turnstile-standalone/paket-pasang-tripod-turnstile-taping","Paket Bridge Tripod Turnstile Single RFID Standalone",,"Paket Turnstile Gate","Turnstile","Turnstile","In Stock","Tripod turnstile adalah alat kontrol akses berbentuk palang tiga (seperti tripod) yang berputar secara mekanis untuk mengatur arus masuk dan keluar orang. Saat dipadukan dengan sistem **akses tap kartu**, pengguna harus menempelkan kartu akses (misalnya RFID) ke mesin pembaca. Jika kartu valid, sistem akan membuka blokir palang, memungkinkan satu orang lewat. Setelah lewat, palang otomatis mengunci kembali, mencegah orang lain masuk tanpa izin.
Fungsi utama:* Mengontrol akses satu per satu.* Dapat dihubungkan ke sistem keamanan* Cocok digunakan di gedung perkantoran, stasiun, gym, atau fasilitas publik.
Paket terdiri dari :1 Bridge Tripod Turnstile Single2 RFID Keypad StandaloneFree Kartu 100pcs
**note :hanya barang saja, belum termasuk jasa instalasi dan ongkos kirim barang","paket bridge tripod turnstile single","harga paket rfid tripod turnstile single","pasang tripod turnstile akses kartu","paket tripod turnstile murah",,"https://alatparkir.info/image/cache/catalog/turnstile/pasang_turnstile_akses_kartu-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/pasang_turnstile_akses_kartu-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/pasang_turnstile_akses_kartu-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/pasang_turnstile_akses_kartu-600x691.webp",8,,,0,8
"1770381114-39","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/sistem-tap-kartu-perumahan/paket-pasang-alat-parkir-otomatis","Paket Portal Otomatis 1 In 1 Out MX50 RFID Software","Rp.23,580,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software 1 pintu masuk dan 1 pintu keluar ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar.Paket ini terdiri dari :2 unit barrier gate mx50 palang 3 meter 2 unit tiang gooseneck rfid2 unit rfid wiegand1 unit akses kontrol zkteco1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","paket portal perumahan","alat parkir otomatis","akses portal perumahan",,,,,,,7,,,23580000,7
"1770381116-40","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/portal-otomatis-perumahan-rfid-1-in-1-out/paket-pasang-alat-parkir-otomatis","Paket Portal Otomatis 1 In 1 Out BLDC LED RFID Software","Rp.21,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software 1 pintu masuk dan 1 pintu keluar ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar.Paket ini terdiri dari :2 unit barrier gate bldc led palang 3 meter 2 unit tiang gooseneck rfid2 unit rfid wiegand1 unit akses kontrol zkteco1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","mesin portal otomatis","portal otomatis perumahan","palang otomatis perumahan","paket portal perumahan","alat parkir otomatis",,,,,7,,,21000000,7
"1770381119-41","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/tap-kartu-perumahan/paket-pasang-alat-parkir-otomatis","Paket Portal Otomatis 1 Gate In Out MX80 RFID Software","Rp.18,900,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar.Paket ini terdiri dari :1 unit barrier gate mx80 palang 3 meter dengan lampu LED di Body dan Palang2 unit tiang gooseneck rfid2 unit rfid wiegand1 unit akses kontrol zkteco1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","paket portal perumahan","alat parkir otomatis","akses portal perumahan",,,,,,,7,,,18900000,7
"1770381121-42","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/portal-parkir-perumahan-rfid/paket-pasang-alat-parkir-otomatis","Paket Portal Otomatis 1 Gate In Out MX50 RFID Software","Rp.17,020,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar.Paket ini terdiri dari :1 unit barrier gate mx50 palang 3 meter 2 unit tiang gooseneck rfid2 unit rfid wiegand1 unit akses kontrol zkteco1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","paket portal perumahan","alat parkir otomatis","akses portal perumahan",,,,,,,7,,,17020000,7
"1770381124-43","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/portal-otomatis-perumahan-murah-rfid/paket-pasang-alat-parkir-otomatis","Paket Portal Otomatis 1 Gate In Out BLDC LED RFID Software","Rp.15,500,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software 1 pintu masuk dan 1 pintu keluar ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar.Paket ini terdiri dari :1 unit barrier gate bldc led palang 3 meter 2 unit tiang gooseneck rfid2 unit rfid wiegand1 unit akses kontrol zkteco1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","mesin portal otomatis","portal otomatis perumahan","palang otomatis perumahan","paket portal perumahan","alat parkir otomatis",,,,,7,,,15500000,7
"1770381126-44","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/portal-perumahan-cctv/paket-pasang-alat-parkir-otomatis","Paket Portal 1 In 1 Out MX80 LED RFID CCTV","Rp.35,200,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software kamera 1 pintu masuk dan 1 pintu keluar ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar sekaligus mengcapture kendaraan pada saat tapping kartu di pintu masuk maupun pintu keluar.Paket ini terdiri dari :2 unit barrier gate mx80 palang 3 meter LED body dan palang2 unit tiang gooseneck rfid2 unit rfid wiegand2 unit ip kamera + tiang1 unit akses kontrol zkteco inBio + lisensi aplikasi1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","paket portal perumahan","alat parkir otomatis","akses portal perumahan",,,,,,,7,,,35200000,7
"1770381129-45","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/portal-parkir-cctv-perumahan/paket-pasang-alat-parkir-otomatis","Paket Portal 1 In 1 Out MX50 RFID CCTV","Rp.33,515,400","Paket Alat Parkir","Workshop","Workshop","In Stock","Portal otomatis atau palang otomatis system RFID software kamera 1 pintu masuk dan 1 pintu keluar ini biasa digunakan untuk akses keamanan keluar masuk area perumahan atau Gedung kantor dengan cara tapping kartu ke alat pembaca kartu rfid yang telah terpasang dan kartu yang sudah terdaftar sekaligus mengcapture kendaraan pada saat tapping kartu di pintu masuk maupun pintu keluar.Paket ini terdiri dari :2 unit barrier gate mx50 palang 3 meter 2 unit tiang gooseneck rfid2 unit rfid wiegand2 unit ip kamera + tiang1 unit akses kontrol zkteco inBio + lisensi aplikasi1 unit rfid registrasifree 100pcs kartu**Harga ini belum termasuk instalasi dan ongkos kirim barang","paket portal perumahan","alat parkir otomatis","akses portal perumahan",,,,,,,7,,,33515400,7
"1770381131-46","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/palang-parkir-otomatis-berbayar-murah/paket-pasang-alat-parkir-otomatis","Paket Palang Parkir Berbayar Lengkap Termurah","Rp.62,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalamPaket yg didapat :Spesifikasi ISI PAKET :IN : - 1 unit Barrier Gate BLDC Palang 3 Meter - Kabel loop detector 100 meter - 2 unit VLD - Dispenser Tiket - 1 unit Controller Parkir Raspberry- 1 unit Printer thermal IWARE / Eppos- 1 unit USB mifare - 1 unit Switch Hub 4 port- 1 Speaker Greeting- 1 unit ip CCTV 2 mp Hikvision DS-2CD1021G2-IU + Tiang OUT : - 1 unit Barrier Gate BLDC Palang 3 Meter - 1 unit ip CCTV 2 mp Hikvision DS-2CD1021G2-IU + Tiang - Kabel Loop detector 50 meter - - 1 unit VLD - 1 unit POS Kasir Parkir Ukuran Pos : 140x90x210 (PxLxT)- 1 unit Triger Gate Controller Parkir out - 1 unit Printer thermal IWARE / Eppos- 1 unit RFID Reader USB mifare- 1 unit Barcode Scanner Scanlogic- 1 unit Komputer kasir Intel core i5, Ram 4 gb, LED 19inch SPC- Switch hub 4 port OFFICE :- 1 lot Software Linux GRATIS JADI HAK MILIK BUKAN SEWA- Komputer Server Intel core i5, Ram 4 gb , ssd 128 gb , SSD 1 tb,- Komputer Administrasi Intel core i5, Ram 4 gb , ssd 256Gb, LED 19inch SPC- Switch hub 4 port - 1 unit RFID Reader USB mifare Member
GARANSI PRODUK 12 BULAN(*)harga tercantum belum termasuk jasa pemasangan Ingin sekalian di pasangkan ?? silahkan inbox kami Jika ada yang lebih murah, silahkan bandingkan produk yang lebih murah dengan produk kami. Jika ada yang lebih mahal, silahkan kasih saran ke kami agar kami jadi yang terbaik. ++++++++++","alat parkir","portal parkir berbayar","palang parkir murah","paket palang parkir berbayar","mesin portal parkir","https://alatparkir.info/image/cache/catalog/Paket/palang_parkir_otomatis_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/palang_parkir_otomatis_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/palang_parkir_otomatis_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/palang_parkir_otomatis_murah-600x691.webp",7,,,62000000,7
"1770381134-47","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/jual-paket-palang-otomatis-murah/paket-pasang-alat-parkir-otomatis","Paket Murah Palang Parkir Otomatis BG116","Rp.62,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap palang parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest area. kelengkapan dalam Paket yg didapat
Pintu Masuk :1 Barrier Gate BG116 Palang 3 meter2 VLD sensor kendaraan1 Box tiket dispenser1 USB speaker mini greeting1 USB RFID reader1 Manless Control Unit1 Tiang kamera1 IP Kamera capture1 Printer thermal
Pintu Keluar :1 Barrier Gate BG116 Palang 3 meter1 VLD sensor kendaraan1 Pos Kasir1 set komputer kasir1 triger gate interface1 Tiang kamera1 IP Kamera capture1 Barcode scanner1 Printer thermal1 USB RFID reader
Harga paket hanya barang saja belum termasuk instalasi dan ongkos pengiriman barang","alat parkir","paket parkir 1 in 1 out","palang parkir berbayar","portal otomatis berbayar","portal parkir bg116","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp",7,,,62000000,7
"1770381136-48","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/paket-alat-parkir-murah-mx50/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Murah MX50","Rp.24,390,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket murah alat parkir hanya di alat parkir store alatparkir.infoIsi Paket :2 Barrier Gate MX50Palang 3 meter2 Tiang Kamera1 Box Tiket Dispenser1 Pos parkirPaket ini hanya alat parkir saja belum termasuk software, controller, dan jasa instalasi","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp",7,,,24390000,7
"1770381139-49","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/paket-alat-parkir-murah-bg116/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Murah BG116","Rp.24,700,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket murah alat parkir hanya di alat parkir store alatparkir.infoIsi Paket :2 Barrier Gate BG116 Palang 3 meter2 Tiang Kamera1 Box Tiket Dispenser1 Pos parkirPaket ini hanya alat parkir saja belum termasuk software, controller, dan jasa instalasi","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp",7,,,24700000,7
"1770381142-50","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/paket-palang-parkir-tunai-emoney-qris/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Kasir dan Emoney","Rp.70,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar kombinasi dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalam Paket yg didapat2 – Barrier Gate Mx-803 – Vehicle Loop Detector AP108 (Sensor Logam)1 – Ticket Dispenser2 – Printer Thermal Epson 1 – Manless Control Unit Non PC Raspberry V41 – Speaker Mini Aktif Usb2 – Tiang Kamera (IP Hikvision 2mp)1 – Barcode Scanner Symbol 2D1 – PC Administrasi 1 – Komputer Server1 – Software Parkir  Full Sistem3 – RFID Reader3 – Switchub Dlink 5 port1 – Kabel Jaringan UTP CAT5 Max 300 meter3 – Kabel Wiring VLD1 – Kabel Power & Terminal2 – Jasa instalasi system dan Barrier2 – Jasa pembuatan infrastruktur1 – Akomodasi Pekerjaan","Paket Alat Parkir Kasir dan Emoney",,,,,"https://alatparkir.info/image/cache/catalog/Paket/Pintu%20Masuk%20eMoney-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/Pintu%20Masuk%20eMoney-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/Pintu%20Masuk%20eMoney-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/Pintu%20Masuk%20eMoney-600x691.jpg",7,,,70000000,7
"1770381144-51","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/palang-parkir-emoney-qris/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Emoney Cashless Tap to Tap","Rp.85,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalam Paket yg didapatIsi Paket :2 – Barrier Gate Mx-803 – Vehicle Loop Detector AP108 (Sensor Logam)2 – Ticket Dispenser2 – Printer Thermal Epson 2 – Manless Control Unit Non PC Raspberry V42 – Speaker Mini Aktif Usb2 – Tiang Kamera (IP Hikvision 2mp)1 – Barcode Scanner Symbol 2D1 – PC Administrasi 1 – Komputer Server1 – Software Parkir  Full Sistem3 – RFID Reader3 – Switchub Dlink 5 port1 – Kabel Jaringan UTP CAT5 Max 300 meter3 – Kabel Wiring VLD1 – Kabel Power & Terminal
Belum Termasuk Jasa Instalsi dan Akomodasi- Jasa instalasi system dan Barrier- Jasa pembuatan infrastruktur- Akomodasi Pekerjaan","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/paket_palang_parkir_sistem_emoney_qris-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/paket_palang_parkir_sistem_emoney_qris-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/paket_palang_parkir_sistem_emoney_qris-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/paket_palang_parkir_sistem_emoney_qris-600x691.jpg",7,,,85000000,7
"1770381147-52","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/pasang-parkir-berbayar-murah/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Berbayar 1 Masuk 1 Keluar Murah","Rp.68,290,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalam Paket yg didapat2 – Barrier Gate Mx-503 – Vehicle Loop Detector AP108 (Sensor Logam)1 – Ticket Dispenser2 – Printer Thermal Epson 1 – Manless Control Unit Non PC Raspberry V41 – Speaker Mini Aktif Usb2 – Tiang Kamera (IP Hikvision 2mp)1 – Barcode Scanner Symbol 2D1 – PC Administrasi 1 – Komputer Server1 – Software Parkir  Full Sistem3 – RFID Reader3 – Switchub Dlink 5 port1 – Kabel Jaringan UTP CAT5 Max 300 meter3 – Kabel Wiring VLD1 – Kabel Power & Terminal","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg",7,,,68290000,7
"1770381149-53","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/paket-pasang-alat-parkir-otomatis",,"https://alatparkir.info/paket-palang-parkir-murah-bg116/paket-pasang-alat-parkir-otomatis","Paket Alat Parkir Berbayar 1 Masuk 1 Keluar BG116","Rp.62,000,000","Paket Alat Parkir","Workshop","Workshop","In Stock","Paket lengkap palang parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest area. kelengkapan dalam Paket yg didapat
Pintu Masuk :1 Barrier Gate BG116 Palang 3 meter2 VLD sensor kendaraan1 Box tiket dispenser1 USB speaker mini greeting1 USB RFID reader1 Manless Control Unit1 Tiang kamera1 IP Kamera capture1 Printer thermal
Pintu Keluar :1 Barrier Gate BG116 Palang 3 meter1 VLD sensor kendaraan1 Pos Kasir1 set komputer kasir1 triger gate interface1 Tiang kamera1 IP Kamera capture1 Barcode scanner1 Printer thermal1 USB RFID reader
Harga paket hanya barang saja belum termasuk instalasi dan ongkos pengiriman barang","alat parkir","paket parkir 1 in 1 out","palang parkir berbayar","portal otomatis berbayar","portal parkir bg116","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp",7,,,62000000,7
"1770381154-54","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/periferal",,"https://alatparkir.info/aplikasi-parkir-emoney/periferal","Software Parkir Linux Support Emoney",,"Periferal",,,"In Stock","Operating System Oracle LinuxDatabase postgresqlMenu Administrasi Setup– Master Nama Pos Parkir– Master Jenis Kendaraan– Master SHIFT– Local Config– Master Tarif Parkir– Master Index Parkir– Administrasi Akses Level Pegawai– Biodata Pegawai– Ploating Pegawai– Master nama langganan– Master Tarif Langganan– Master Jenis LanggananMenu Administrasi Operasional– Transaksi Parkir– Transaksi Langganan– Transaksi VIP– Transaksi Setoran– Pesan Ke Pos– Input Pesan Manual– Koreksi Data ParkirMenu Administrasi Report– Report Transaksi Parkir– Report Transaksi Langganan– Report Transaksi VIP– Laporan Historikal Login– Laporan Pembatalan Transaksi– Monitor Kendaraan didalam– Laporan Perubahan Langganan– Laporan Kendaraan Inap– Laporan Masalah di Pos– Laporan Penghapusan VIP**Harga sudah include Manless Controller Raspberry dan Triger Gate Interface","software parkir","program parkir","aplikasi parkir","sistem parkir",,"https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg",6,,,0,6
"1770381157-55","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/periferal",,"https://alatparkir.info/harga-software-parkir/periferal","Software Parkir Linux",,"Periferal",,,"In Stock","Operating System Oracle LinuxDatabase postgresqlMenu Administrasi Setup– Master Nama Pos Parkir– Master Jenis Kendaraan– Master SHIFT– Local Config– Master Tarif Parkir– Master Index Parkir– Administrasi Akses Level Pegawai– Biodata Pegawai– Ploating Pegawai– Master nama langganan– Master Tarif Langganan– Master Jenis LanggananMenu Administrasi Operasional– Transaksi Parkir– Transaksi Langganan– Transaksi VIP– Transaksi Setoran– Pesan Ke Pos– Input Pesan Manual– Koreksi Data ParkirMenu Administrasi Report– Report Transaksi Parkir– Report Transaksi Langganan– Report Transaksi VIP– Laporan Historikal Login– Laporan Pembatalan Transaksi– Monitor Kendaraan didalam– Laporan Perubahan Langganan– Laporan Kendaraan Inap– Laporan Masalah di Pos– Laporan Penghapusan VIP**Harga sudah include Manless Controller Raspberry dan Triger Gate Interface","software parkir","program parkir","aplikasi parkir","sistem parkir",,"https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/software/harga_software_parkir_murah-600x691.jpg",6,,,0,6
